"geo.mean","cell","window","Rank","pct.rank","Outbreak","rnk.med","rnk.low","rnk.high","Risk","rel.Risk","rel.low","rel.med","rel.high"
-3.55156234410954,"24461",1,0.025555033236742,99.0198343387287,"Beni",98.8732099343919,94.9383777054028,99.7708223592607,0.025555033236742,89.5176712904797,33.1054713637978,83.2812182507588,156.825962447985
-3.50460410407069,"24462",1,0.0237746834754944,98.8732099343919,"Beni",98.8732099343919,94.9383777054028,99.7708223592607,0.0237746834754944,83.2812182507588,33.1054713637978,83.2812182507588,156.825962447985
-4.5843122153051,"24793",1,0.00945077557116747,94.9383777054028,"Beni",98.8732099343919,94.9383777054028,99.7708223592607,0.00945077557116747,33.1054713637978,33.1054713637978,83.2812182507588,156.825962447985
-3.49621224800423,"24794",1,0.0250077415257692,98.9797898585527,"Beni",98.8732099343919,94.9383777054028,99.7708223592607,0.0250077415257692,87.6005429099763,33.1054713637978,83.2812182507588,156.825962447985
-3.0954157587947,"24795",1,0.0447698496282101,99.7708223592607,"Beni",98.8732099343919,94.9383777054028,99.7708223592607,0.0447698496282101,156.825962447985,33.1054713637978,83.2812182507588,156.825962447985
-3.44387827521265,"24796",1,0.0298528727144003,99.3173956298829,"Beni",98.8732099343919,94.9383777054028,99.7708223592607,0.0298528727144003,104.572732188116,33.1054713637978,83.2812182507588,156.825962447985
-4.0777073195245,"25125",1,0.0148474806919694,97.273586968591,"Beni",98.8732099343919,94.9383777054028,99.7708223592607,0.0148474806919694,52.0097893734889,33.1054713637978,83.2812182507588,156.825962447985
-3.79375811924758,"25126",1,0.0198167879134417,98.376966414672,"Beni",98.8732099343919,94.9383777054028,99.7708223592607,0.0198167879134417,69.4169594707512,33.1054713637978,83.2812182507588,156.825962447985
-3.87147523688604,"25127",1,0.0180379450321198,98.0510659529318,"Beni",98.8732099343919,94.9383777054028,99.7708223592607,0.0180379450321198,63.1857849364666,33.1054713637978,83.2812182507588,156.825962447985
-6.10648086269581,"25736",1,0.00202304893173277,77.2898511884379,"Bikoro",63.9068318963769,57.131151833361,79.8622469880536,0.00202304893173277,7.08661294226118,2.74649968213721,3.77531970316614,8.15214679552374
-6.78849900951961,"25738",1,0.00107291794847697,63.7994818860588,"Bikoro",63.9068318963769,57.131151833361,79.8622469880536,0.00107291794847697,3.75836397251589,2.74649968213721,3.77531970316614,8.15214679552374
-6.90431289546984,"25739",1,0.000905928143765777,60.1372601567293,"Bikoro",63.9068318963769,57.131151833361,79.8622469880536,0.000905928143765777,3.17340920808594,2.74649968213721,3.77531970316614,8.15214679552374
-6.08448049698296,"26067",1,0.00232723192311823,79.8622469880536,"Bikoro",63.9068318963769,57.131151833361,79.8622469880536,0.00232723192311823,8.15214679552374,2.74649968213721,3.77531970316614,8.15214679552374
-6.6959883466401,"26068",1,0.00121000001672655,66.4861584714076,"Bikoro",63.9068318963769,57.131151833361,79.8622469880536,0.00121000001672655,4.23855382050803,2.74649968213721,3.77531970316614,8.15214679552374
-7.05214051790378,"26069",1,0.000892822339665145,59.8233730390418,"Bikoro",63.9068318963769,57.131151833361,79.8622469880536,0.000892822339665145,3.12750040207464,2.74649968213721,3.77531970316614,8.15214679552374
-6.86226506933051,"26070",1,0.00108259881380945,64.0141819066949,"Bikoro",63.9068318963769,57.131151833361,79.8622469880536,0.00108259881380945,3.79227543381639,2.74649968213721,3.77531970316614,8.15214679552374
-6.79225369801819,"26071",1,0.00113884196616709,65.1123247669069,"Bikoro",63.9068318963769,57.131151833361,79.8622469880536,0.00113884196616709,3.98929165283083,2.74649968213721,3.77531970316614,8.15214679552374
-7.03512588766925,"26399",1,0.000791778205893934,57.3329144065556,"Bikoro",63.9068318963769,57.131151833361,79.8622469880536,0.000791778205893934,2.77354916792959,2.74649968213721,3.77531970316614,8.15214679552374
-6.79697987605666,"26400",1,0.00113661459181458,65.0627312183812,"Bikoro",63.9068318963769,57.131151833361,79.8622469880536,0.00113661459181458,3.98148930081344,2.74649968213721,3.77531970316614,8.15214679552374
-6.91661181932861,"26401",1,0.000973586924374104,61.7033073660749,"Bikoro",63.9068318963769,57.131151833361,79.8622469880536,0.000973586924374104,3.4104136536017,2.74649968213721,3.77531970316614,8.15214679552374
-6.81505462312872,"26402",1,0.00117516494356096,65.8167995835421,"Bikoro",63.9068318963769,57.131151833361,79.8622469880536,0.00117516494356096,4.11652875405129,2.74649968213721,3.77531970316614,8.15214679552374
-6.77596675884198,"26731",1,0.0010071030119434,62.4342731465189,"Bikoro",63.9068318963769,57.131151833361,79.8622469880536,0.0010071030119434,3.5278183966195,2.74649968213721,3.77531970316614,8.15214679552374
-6.25574695440216,"26732",1,0.0018428290495649,75.4428765489342,"Bikoro",63.9068318963769,57.131151833361,79.8622469880536,0.0018428290495649,6.45531405008374,2.74649968213721,3.77531970316614,8.15214679552374
-6.91741572141719,"26733",1,0.000951311783865094,61.1867335718042,"Bikoro",63.9068318963769,57.131151833361,79.8622469880536,0.000951311783865094,3.33238523988131,2.74649968213721,3.77531970316614,8.15214679552374
-7.16080554381092,"26734",1,0.000784056261181831,57.131151833361,"Bikoro",63.9068318963769,57.131151833361,79.8622469880536,0.000784056261181831,2.74649968213721,2.74649968213721,3.77531970316614,8.15214679552374
-6.63644896200958,"27063",1,0.00135818577837199,69.0382239964724,"Bikoro",63.9068318963769,57.131151833361,79.8622469880536,0.00135818577837199,4.75763920685898,2.74649968213721,3.77531970316614,8.15214679552374
