"results[, 1]","estimate","std.error","p.value","2.5 %","97.5 %"
"(Intercept)",-24.94,5.2,0,-35.13,-14.75
"BB.cond",0,0,0.86,0,0
"BB.cond_2",0,0,0.53,0,0
"BB.cond_4",0,0,0.05,0,0
"BB.cond_6",0,0,0.08,0,0
"BatDiv",0.07,0.02,0,0.02,0.11
"hdl",4.44,0.83,0,2.82,6.07
"logPop",-1.77,0.22,0,-2.21,-1.33
"lnBm.div",4.18,1.22,0,1.8,6.57
"lFrag",0.48,0.35,0.17,-0.2,1.16
