"results[, 1]","estimate","std.error","p.value","2.5 %","97.5 %"
"(Intercept)",-29.81,6.02,0,-41.62,-18.01
"OB_ann_imp",5.22,1.38,0,2.52,7.92
"OB_ann_imp_1",1.98,1.86,0.29,-1.67,5.63
"lnBm.div",5.6,1.32,0,3.01,8.19
"logPop",-0.23,0.2,0.24,-0.61,0.16
"lFrag",-0.21,0.35,0.54,-0.9,0.47
