"","qAIC","c.hat","k"
"full",756.65538671498,1.34661152648362,19
"prob",631.698597373367,1.09928577981535,20
"sum",597.678296497589,1.03985633912852,12
"sumDIV",675.553320358703,1.16817855577091,11
"null",1073.88983062967,1.87131038731213,6
