"results[, 1]","estimate","std.error","p.value","2.5 %","97.5 %"
"(Intercept)",-20.8,5.28,0,-31.15,-10.45
"BB.cond",0,0,0.5,0,0
"BB.cond_2",0,0,0.14,0,0
"BB.cond_4",0,0,0.75,0,0
"BB.cond_6",0,0,0.36,0,0
"OB_ann_imp",5.03,1.01,0,3.05,7.01
"OB_ann_imp_1",1.97,1.37,0.15,-0.72,4.66
"BatDiv",0.08,0.03,0,0.03,0.13
"hdl",-11.8,512.86,0.98,-1016.98,993.38
"logPop",-0.28,0.15,0.06,-0.57,0.01
"lnBm.div",2.91,1.27,0.02,0.41,5.41
"lFrag",-0.27,0.27,0.32,-0.81,0.27
