"cell","window","pct.rank","Rank"
"25736","hum_6_7",0.832164342544905,0.00289432401768863
"25738","hum_6_7",0.687252609821737,0.00137947534676641
"25739","hum_6_7",0.653220962361368,0.00118449982255697
"26067","hum_6_7",0.833710675548626,0.00292454729788005
"26068","hum_6_7",0.706600254436018,0.00150309677701443
"26069","hum_6_7",0.633186400894837,0.00107821391429752
"26070","hum_6_7",0.67807010248291,0.00132262380793691
"26071","hum_6_7",0.683935078656384,0.00135883130133152
"26399","hum_6_7",0.620366006549248,0.00101642066147178
"26400","hum_6_7",0.687483635668906,0.00138096220325679
"26401","hum_6_7",0.661202135294914,0.00122773740440607
"26402","hum_6_7",0.682182362562526,0.00134866556618363
"26731","hum_6_7",0.680934822987811,0.00134092348162085
"26732","hum_6_7",0.777642242612925,0.00210822350345552
"26733","hum_6_7",0.656073361487753,0.00119988096412271
"26734","hum_6_7",0.607228336706881,0.000955599592998624
"27063","hum_6_7",0.712209562005291,0.00154282699804753
"27064","hum_6_7",0.664649040934682,0.00124671380035579
"25736","hum_7_8",0.497641996188187,0.000552801531739533
"25738","hum_7_8",0.353682089952782,0.000233729035244323
"25739","hum_7_8",0.327379027165917,0.000193235144251958
"26067","hum_7_8",0.5527062367749,0.000734641624148935
"26068","hum_7_8",0.411463194503199,0.000339899852406234
"26069","hum_7_8",0.333182396446916,0.000201732662389986
"26070","hum_7_8",0.353669768574266,0.000233710932661779
"26071","hum_7_8",0.360825409147388,0.000245167233515531
"26399","hum_7_8",0.397552358158723,0.000311887008138001
"26400","hum_7_8",0.407061382028385,0.00033100091968663
"26401","hum_7_8",0.383669244915907,0.000285012385575101
"26402","hum_7_8",0.375500170959851,0.00027020086417906
"26731","hum_7_8",0.462852583948481,0.000458227208582684
"26732","hum_7_8",0.532486854630633,0.000663264829199761
"26733","hum_7_8",0.398230033977098,0.000313213997287676
"26734","hum_7_8",0.364882223023756,0.000251823628786951
"27063","hum_7_8",0.498070164091615,0.000554152415134013
"27064","hum_7_8",0.433607792040939,0.000387679319828749
