"results[, 1]","estimate","std.error","p.value","2.5 %","97.5 %"
"(Intercept)",-33.95,5.59,0,-44.9,-22.99
"lnBm.div",5.91,1.2,0,3.56,8.26
"lFrag",0.57,0.4,0.16,-0.22,1.35
