"cell","window","pct.rank","Rank"
"25736","hum_12_1",0.771466151631931,0.00200741039589047
"25738","hum_12_1",0.636174335184895,0.00106668169610202
"25739","hum_12_1",0.59971845650156,0.000900705112144351
"26067","hum_12_1",0.796909798266855,0.00230372627265751
"26068","hum_12_1",0.662418871423342,0.00119926373008639
"26069","hum_12_1",0.596102131907201,0.000885388813912868
"26070","hum_12_1",0.637951694035785,0.00107465474866331
"26071","hum_12_1",0.649164148485074,0.001130381366238
"26399","hum_12_1",0.571416250050993,0.000785686483141035
"26400","hum_12_1",0.648480311977453,0.00112722476478666
"26401","hum_12_1",0.614673529674993,0.000965171493589878
"26402","hum_12_1",0.655925504945566,0.00116462504956871
"26731","hum_12_1",0.622325105733244,0.000999489217065275
"26732","hum_12_1",0.752309488384644,0.0018245296087116
"26733","hum_12_1",0.6098928348109,0.000944018480367959
"26734","hum_12_1",0.569685096369537,0.000778989517129958
"27063","hum_12_1",0.688312248374089,0.00134722038637847
"27064","hum_12_1",0.635595230394657,0.00106393417809159
