"results[, 1]","estimate","std.error","statistic","p.value"
"(Intercept)",-29.81,6.02,-4.95,0
"logPop",-0.23,0.2,-1.17,0.24
"OB_ann_imp",5.22,1.38,3.79,0
"lnBm.div",5.6,1.32,4.24,0
"lFrag",-0.21,0.35,-0.61,0.54
"OB_ann_imp_1",1.98,1.86,1.06,0.29
