"results[, 1]","estimate","std.error","p.value","2.5 %","97.5 %"
"(Intercept)",-26.54,5.05,0,-36.45,-16.64
"BB.condDIV",0,0,0.19,0,0
"BB.condDIV_2",0,0,0.02,0,0
"BB.condDIV_4",0,0,0.25,0,0
"BB.condDIV_6",0,0,0.12,0,0
"OB_ann_imp",5.25,1.08,0,3.14,7.36
"OB_ann_imp_1",2.02,1.46,0.17,-0.85,4.89
"hdl",-12.68,785.68,0.99,-1552.57,1527.22
"logPop",-0.23,0.15,0.14,-0.53,0.07
"lnBm.div",4.76,1.13,0,2.55,6.97
"lFrag",-0.23,0.28,0.41,-0.79,0.32
