"results[, 1]","estimate","std.error","p.value","2.5 %","97.5 %"
"(Intercept)",-32.45,5.52,0,-43.27,-21.64
"lnBm.div",5.62,1.19,0,3.29,7.95
"lFrag",0.55,0.4,0.17,-0.24,1.33
